title,score,time,connect_url
金刚：骷髅岛,6.2,2017-06-22,"thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+mHkWfvvJprbOWymy/ph5Fn77yaa2zlspsubXA0Wlo=,magnet:?xt=urn:btih:88C452125A03AFF19CFCE50EE3EE76FDDB69266A"
不汗党,7.0,2017-06-11,thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+S4jWjlhZov5LiNaOWFmi5tcDRaWg==
咸鱼传奇,2.4,2017-06-12,"thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+WSuHnkvKDlpYcv5ZK4eeS8oOWlhy5tcDRaWg==,magnet:?xt=urn:btih:8FED0065DE16E380BB703FBB1A379C3BAAA43BF5"
血狼犬,5.9,2017-06-16,"thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+ihgGzniqwv6KGAbOeKrC5tcDRaWg==,magnet:?xt=urn:btih:8699D320A4E0D06ED80A87CF73B28F2AB464515D"
贝尔科实验,6.0,2017-06-12,"thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+i0neWwlOenkeWunumqjC/otJ3lsJTnp5Hlrp7pqowubXA0Wlo=,magnet:?xt=urn:btih:ca0a0eed5c4aa211fce2e68fc8f8491eae3aefc7&dn=The.Belko.Experiment.2016.720p.BluRay.x264-BLOW%5Brarbg%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
艾米丽,4.8,2017-06-15,"thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+iJvuexs+S4vS/oib7nsbPkuL0ubXA0Wlo=,magnet:?xt=urn:btih:d299ff39da4f9e9c93423f3afd27c266db8dd93a&dn=Emelie.2015.720p.BluRay.x264-ROVERS&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
春娇救志明,7.5,2017-06-12,"thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+aYpWrmlZHlv5fmmI5b5Zu96K+t54mIXS/mmKVq5pWR5b+X5piOW+WbveivreeJiF0ubXA0Wlo=,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+aYpWrmlZHlv5fmmI5b57Kk6K+t54mIXS/mmKVq5pWR5b+X5piOW+eypOivreeJiF0ubXA0Wlo=,magnet:?xt=urn:btih:EC0B5E926AEAFC92996C5CA9A79B40691E87D25B"
雀圣,5.6,2017-06-11,"thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+mbgOWco1vlm73or63niYhdL+mbgOWco1vlm73or63niYhdLm1wNFpa,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+mbgOWco1vnsqTor63niYhdL+mbgOWco1vnsqTor63niYhdLm1wNFpa"
老师也疯狂[DVD版],3.7,2017-06-13,thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+iAgeW4iOS5n+eWr+eLgltEVkTniYhdL+iAgeW4iOS5n+eWr+eLgltEVkTniYhdLm1wNFpa
完全陌生,6.2,2017-06-13,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+WujOWFqOmZjOeUny/lrozlhajpmYznlJ8ubXA0Wlo=
霸道总裁蓝百万,3.7,2017-06-12,thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+mcuOmBk+aAu+ijgeiTneeZvuS4hy/pnLjpgZPmgLvoo4Hok53nmb7kuIcubXA0Wlo=
虎色虎香,3.1,2017-06-12,thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+iZjuiJsuiZjummmS/omY7oibLomY7pppkubXA0Wlo=
李雷和韩梅梅[抢先版],4.2,2017-06-12,thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+adjmzlkozpn6nmooXmooVb5oqi5YWI54mIXS/mnY5s5ZKM6Z+p5qKF5qKFW+aKouWFiOeJiF1faGQubXA0Wlo=
鬼姐姐,5.2,2017-06-13,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+msvOWnkOWnkC/prLzlp5Dlp5AubXA0Wlo=
龙之心4：心火之战,5.6,2017-06-13,"thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+m+meS5i3g077ya5b+D54Gr5LmL5oiYL+m+meS5i3g077ya5b+D54Gr5LmL5oiYLm1wNFpa,magnet:?xt=urn:btih:A6DB0862E81A6B872D390D29EFADC931DE6465BD"
古都,6.8,2017-06-13,"thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+WPpOmDvS/lj6Tpg70ubXA0Wlo=,magnet:?xt=urn:btih:a77ac1d652b72a5ecb1e9601fa58d1c65b1f8063&dn=The.Old.Capital.2016.720p.BluRay.x264-WiKi&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710"
殉道者杀手,5.4,2017-06-14,"thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+auiemBk+iAheadgOaJiy/mronpgZPogIXmnYDmiYsubXA0Wlo=,magnet:?xt=urn:btih:509b23b5220de64dbb5bd88f17f0586762e1eaab&dn=Let.Me.Make.You.a.Martyr.2016.720p.WEB-DL.XviD.AC3-FGT&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
龙棺古墓,3.6,2017-06-14,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+m+mWflj6TlopMv6b6ZZ+WPpOWiky5tcDRaWg==
走火交易,6.3,2017-06-14,thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+i1sOeBq+S6pOaYky/otbDngavkuqTmmJMubXA0Wlo=
新木乃伊[无字幕抢先版],4.8,2017-06-16,thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+aWsG3kuYPkvIpb5peg5a2X5bmV5oqi5YWI54mIXS/mlrBt5LmD5LyKW+aXoOWtl+W5leaKouWFiOeJiF1faGQubXA0Wlo=
威尔逊,5.8,2017-06-15,"thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+WogeWwlOmAii/lqIHlsJTpgIoubXA0Wlo=,magnet:?xt=urn:btih:e144607eee544d99650606bdbd2eb6219cd90178&dn=Wilson.2017.LIMITED.720p.BluRay.x264-GECKOS%5Brarbg%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
“吃吃”的爱[抢先版],6.1,2017-06-15,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+KAnOWQg2PigJ3nmoTniLFb5oqi5YWI54mIXS/igJzlkINj4oCd55qE54ixW+aKouWFiOeJiF0ubXA0Wlo=
走火枪,5.6,2017-06-14,"thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+i1sGjmnqov6LWwaOaeqi5tcDRaWg==,magnet:?xt=urn:btih:575FDA7460802C3B5D826942AF3371B4BE234AE5"
醒醒吧之跟风者,3.6,2017-06-07,thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+mGkumGkuWQp+S5i+i3n+mjjuiAhS/phpLphpLlkKfkuYvot5/po47ogIUubXA0Wlo=
抢红,3.3,2017-06-14,"thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L3HnuqIvcee6oi5tcDRaWg==,magnet:?xt=urn:btih:C94D7ACF3BB32F4174FE0D39415646A0DAA8446B"
新宿天鹅2,5.1,2017-06-07,"thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+aWsOWuv+Wkqem5hTIv5paw5a6/5aSp6bmFMi5tcDRaWg==,magnet:?xt=urn:btih:6d112052a9d06f6da420b6ab4d91d277e610ded3&dn=Shinjuku.Swan.II.2017.720p.BluRay.x264-WiKi&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
六月与弓箭,3.7,2017-06-07,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+WFreaciOS4juW8k+eurS/lha3mnIjkuI7lvJPnrq0ubXA0Wlo=
梨泰院杀人事件,6.5,2017-06-05,thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+aiqHTpmaLmnYDkurrkuovku7Yv5qKodOmZouadgOS6uuS6i+S7ti5tcDRaWg==
石之痛,6.1,2017-06-07,"thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+efs+S5i+eXmy/nn7PkuYvnl5subXA0Wlo=,magnet:?xt=urn:btih:610452B061AE2216B000BE98DAB6EB757E03A99C"
贝拉的奇幻花园,7.4,2017-06-07,thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+i0neaLieeahOWlh+W5u+iKseWbrS/otJ3mi4nnmoTlpYflubvoirHlm60ubXA0Wlo=
墙里的声音,5.2,2017-06-06,"thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+WimemHjOeahOWjsOmfs3YyL+WimemHjOeahOWjsOmfs3YyLm1wNFpa,magnet:?xt=urn:btih:6381294f714b87218489950fc5fce746db988bba&dn=Voice.from.the.Stone.2017.720p.WEB-DL.XviD.AC3-FGT&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
喔我的僵尸,5.5,2017-06-06,"thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+WWlOaIkeeahOWDteWwuC/llpTmiJHnmoTlg7XlsLgubXA0Wlo=,magnet:?xt=urn:btih:0BE8709D02EB9E4A1FFB5D93253C9673891105DE"
牛奶配送员的奇幻人生,7.4,2017-06-06,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+eJm+WltumFjemAgeWRmOeahOWlh+W5u+S6uueUny/niZvlpbbphY3pgIHlkZjnmoTlpYflubvkurrnlJ8ubXA0Wlo=
汉娜的睡犬,6.6,2017-06-08,thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+axieWonOeahOedoeeKrC/msYnlqJznmoTnnaHniqwubXA0Wlo=
例外,6.6,2017-06-06,"thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+S+i+Wkli/kvovlpJYubXA0Wlo=,magnet:?xt=urn:btih:37315133e25c26e8de5e9e9797840229797fdf9b&dn=The.Exception.2016.1080p.WEB-DL.DD5.1.H264-FGT&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
最后的话,7.0,2017-06-06,"thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+acgOWQjueahOivnS/mnIDlkI7nmoTor50ubXA0Wlo=,magnet:?xt=urn:btih:605ee466d0005c56a654c219cb89b3c0ba0defb2&dn=The.Last.Word.2017.1080p.BluRay.x264.DTS-HD.MA.5.1-FGT&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
速度与激情8,7.2,2017-06-08,"thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+mAn2TkuI5q5oOFOC/pgJ9k5LiOauaDhTgubXA0Wlo=,magnet:?xt=urn:btih:192115a308a3c0b1bed514b427e9c9e06a58d26c&dn=Before.I.Fall.2017.1080p.BluRay.x264.DTS-HD.MA.5.1-FGT&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
哈桑·明哈杰：返校之王,8.6,2017-06-08,"thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+WTiOahkcK35piO5ZOI5p2w77ya6L+U5qCh5LmL546LL+WTiOahkcK35piO5ZOI5p2w77ya6L+U5qCh5LmL546LLm1wNFpa,magnet:?xt=urn:btih:5836de922f1c6d7b62d8e84e8e486a37030743a2&dn=Hasan.Minhaj.Homecoming.King.2017.720p.WEBRip.DD5.1.x264-QOQ&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
大钓哥,5.1,2017-06-09,thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+Wkp+mSk+WTpS/lpKfpkpPlk6UubXA0Wlo=
冰雪大作战,6.0,2017-06-08,"thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+WGsHjlpKfkvZzmiJgv5YaweOWkp+S9nOaImC5tcDRaWg==,magnet:?xt=urn:btih:355FF64A47E7DCA023D344CDA7886E0799A922FB"
摔跤吧！爸爸,9.2,2017-06-09,"thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+aRlGrlkKfvvIHniLjniLgv5pGUauWQp++8geeIuOeIuC5tcDRaWg==,magnet:?xt=urn:btih:D47604ABDC9CD35FB79DF63F23533E6BFA83D04B"
京城四少,3.9,2017-06-09,thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+S6rOWfjuWbm+WwkS/kuqzln47lm5vlsJEubXA0Wlo=
打拳架,5.9,2017-06-09,"thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+aJk+aLs+aeti/miZPmi7PmnrYubXA0Wlo=,magnet:?xt=urn:btih:93FEE351D16B7CA2FB0C4891680D10EA01949852"
血伞凶灵,2.3,2017-06-09,thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+ihgOS8nuWHtueBtS/ooYDkvJ7lh7bngbUubXA0Wlo=
黑蝴蝶,6.2,2017-06-10,thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+m7keidtOidti/pu5HonbTonbYubXA0Wlo=
血战狂沙,3.2,2017-06-10,thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+ihgOaImOeLguaymS/ooYDmiJjni4LmspkubXA0Wlo=
哆啦A梦：大雄的南极冰冰凉大冒险[抢先版],6.6,2017-06-09,thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+WThmxB5qKm77ya5aSneOeahOWNl+aegeWGsOWGsOWHieWkp+WGkumZqVvmiqLlhYjniYhdL+WThmxB5qKm77ya5aSneOeahOWNl+aegeWGsOWGsOWHieWkp+WGkumZqVvmiqLlhYjniYhdLm1wNFpa
心语阳光,4.5,2017-06-10,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+W/g+ivremYs+WFiS/lv4Por63pmLPlhYkubXA0Wlo=
巴霍巴利王(下)：终结[DVD版],6.9,2017-06-11,thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+W3tOmcjeW3tOWIqeeOiyjkuIsp77ya57uI57uTW0RWROeJiF0v5be06ZyN5be05Yip546LKOS4iynvvJrnu4jnu5NbRFZE54mIXS5tcDRaWg==
我们的故事,7.7,2017-05-31,thunder://QUFodHRwOi8vZGwxMTcuODBzLmltOjkyMC8xNzA1L+aIkeS7rOeahOaVheS6iy/miJHku6znmoTmlYXkuosubXA0Wlo=
喜欢你,7.2,2017-06-02,"thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+WWnGjkvaAv5ZacaOS9oC5tcDRaWg==,magnet:?xt=urn:btih:09BB978A3842BBF97EB5FA293400689CCA6DA6F3"
柏林综合症,6.1,2017-06-02,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+afj+ael+e7vOWQiOeXhy/mn4/mnpfnu7zlkIjnl4cubXA0Wlo=
救命解药,6.7,2017-05-31,"thunder://QUFodHRwOi8vZGwxMTguODBzLmltOjkyMC8xNzA1L+aVkeWRveino+iNry/mlZHlkb3op6Poja8ubXA0Wlo=,magnet:?xt=urn:btih:14ef6d95396c30d87f36427e1a977a9a55b380d8&dn=A.Cure.for.Wellness.2016.720p.BluRay.x264-DRONES%5Brarbg%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
傲娇与偏见,5.3,2017-05-31,thunder://QUFodHRwOi8vZGwxMjAuODBzLmltOjkyMC8xNzA1L+WCsmrkuI7lgY/op4Ev5YKyauS4juWBj+ingS5tcDRaWg==
我们的青春不怕疼,3.8,2017-06-02,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+aIkeS7rOeahOmdkuaYpeS4jeaAleeWvC/miJHku6znmoTpnZLmmKXkuI3mgJXnlrwubXA0Wlo=
王的记事簿,6.2,2017-05-31,thunder://QUFodHRwOi8vZGwxMTYuODBzLmltOjkyMC8xNzA1L+eOi+eahOiusOS6i+ewvy/njovnmoTorrDkuovnsL8ubXA0Wlo=
我们的故事2,7.0,2017-05-31,thunder://QUFodHRwOi8vZGwxMTkuODBzLmltOjkyMC8xNzA1L+aIkeS7rOeahOaVheS6izIv5oiR5Lus55qE5pWF5LqLMi5tcDRaWg==
女杀手KIRI：血腥复仇,5.9,2017-06-01,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+Wls+adgOaJi0tJUknvvJrooYDohaXlpI3ku4cv5aWz5p2A5omLS0lSSe+8muihgOiFpeWkjeS7hy5tcDRaWg==
加勒比海盗5：死无对证[抢先版],7.5,2017-05-30,thunder://QUFodHRwOi8vZGwxMTYuODBzLmltOjkyMC8xNzA1L+WKoGzmr5Tmtbfnm5c177ya5q275peg5a+56K+BW+aKouWFiOeJiF0v5YqgbOavlOa1t+eblzXvvJrmrbvml6Dlr7nor4Fb5oqi5YWI54mIXV
